"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"Dominican Republic","DOM",13.23,7.05,24.81,22.81,13.17,50.81,48.84,14.54,52.53,2.9,57.04,0.76,54.2,55.4,50.81,53.44,48.32,2.65,2.19,26.17,16.62,3.47,3.57,27.6,41.39,49.86,45.06,61.21,37.2,0.51,55.94,42.16,51.42,46.97,60.03,50.45,48.53,0.01,57.21,0.01,57.57,51.03,54.92,55.3,55.98,55.51,46.5,52.94,53.95,48.98,50380.59,59.4,0.42011,36.98,4245.63,32.38,0.0354,0.01,0,0.01,0,41.63,393.86,35.28,0.00328,30.24,7.42,24.57,6e-05,0.01,0,0.01,0,32.01,483.52,28.62,0.00403,24.91,60.62,22.71,0.00051,26.54,19.16,23.37,0.00016,17.94,7504.59,14.87,0.06258,18.67,6442.07,14.87,0.05372,18.67,5454.51,15.26,0.04548,59.71,215716.05,74.59,1.79879,63.27,35976.95,62.47,0.3,0.01,0,0.01,0,47.42,916846.16,82.43,7.64528,67.06,459188.88,78.54,3.82903,0.01,0,0.01,0,30.75,38256.09,24.77,0.319,49.07,74.34,34.91,15.5,54.58,8.1,45.54,14.2,45.06,17058.48,45.06,4126.48,44.58,29.01,84.04,1752.75,32.77,96.69,42.23,87.18,0.01,100,26.51,91.3,50,88.65,62.58,833.24,33.69,8.3,52.77,121,60.3,60.45,43.84,151.91,52.56,42.19,52.1,11.58,0.66671,48.93,114837,52.01,1.06,47.24,32000,49.86,0.29,0.01,0,0.01,0,62.28,542.54,57.41,25949.56,59.75,21058.25,49.54,898.19,55.93,573124,58.51,5.508,0.01,0,0.01,0,60.85,-0.76322,54.46,-0.35748,49.54,0.01891,52.56,-0.3477,51.16,145.2,58.96,145.9,56.9,161.51,53.74,21,54.82,68.35,57.16,28.8,54.22,9.52,56.41,49.33,55.91,92.79,44.7,3.3,52.8,1.61,42.59,53.67,55.42,330.23,46.02,1225.93,58.17,2890.81,49.41,82,50.09,80,63.43,55,42.84,4904.92,54.51,3.8
"Ecuador","ECU",22.42,14.57,34.51,20.2,46.01,44.21,46.36,15.16,43.35,2.44,45.2,36.45,55.54,48.12,53.92,52.12,30.75,60.08,65.88,34.23,47.8,0.01,42.14,51.13,36.22,45.96,51.13,54.25,36.96,0.51,53.36,52.48,30.6,47.2,56.41,63.16,23.1,0.01,41.29,32.17,55.54,55.54,49.69,45.49,49.28,47.52,61.18,45.45,59.78,58.47,108622.64,69.21,0.61584,56.62,34442.09,53.91,0.19527,63.76,5871.81,59.71,0.03329,72.09,10047.9,63.93,0.05697,71.86,4810.2,61.22,0.02727,68.85,2197.98,58.56,0.01246,35.17,1197.04,31.28,0.00679,36.61,834.41,32.91,0.00473,35.96,345.99,33.73,0.00196,47.4,245015.01,49.44,1.38912,47.01,205404.41,48.61,1.16455,46.62,142288.09,47.8,0.80671,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,52.53,1349460.7,83.12,7.65083,28.69,15528.27,29.04,0.08804,40.65,217.07,37.88,0.00123,56.01,530654.44,46.68,3.00857,39.97,77.32,32.82,15.83,50.35,8.9,41.95,14.6,53.27,10581.34,49.07,2727.76,48.14,57.56,61.13,311.61,35.54,95.36,38.43,91.52,0.01,100,26.15,93.9,47.44,120.44,60.03,912.48,42.69,12.4,64.52,112,38.58,51.35,24.27,84.82,52.33,42.13,52.56,11.68,0.66357,63.36,532360,62.96,3.02,27.16,1210,19.64,0.01,0.01,0,0.01,0,53.27,224.14,38.58,18509.45,54.7,15671.81,37.12,542.29,44.25,89112,38.53,0.54,31.95,0.4,32.4,2e-06,55.67,-0.49641,55.42,-0.39858,53.03,-0.18902,58.17,-0.57736,46.97,205.31,52.56,250.6,57.16,160.98,36.2,963.3,52.1,58.95,46.61,14.2,41.31,217.93,57.66,44.34,45.06,99.79,81.24,0.04,62.88,0.56,44.82,47.95,50.23,135.97,36.2,657.49,51.63,1244.43,65.5,70,61.71,72,52.84,70,51.16,2564.27,18.48,0.3
"Egypt","EGY",20.65,10.74,39.71,27.1,47.91,48.24,56.01,10.84,64.96,9.38,39.54,34.31,59.44,53.93,50.7,38.05,58.18,31.64,49.1,75.46,84.02,0.01,3.07,54.59,56.1,53.03,54.67,60.51,25.45,0.39,54.92,25.29,54.7,60.57,82.72,47.36,27.2,0.64,22.16,53.12,57.54,61.4,56.66,55.92,49.51,52.24,49.2,56.58,25.59,52.4,74464.02,35.92,0.07768,33.65,2299.05,19.78,0.0024,28.9,28.83,27.7,3e-05,58.88,2676.27,32.61,0.00279,61.58,2039.06,42.08,0.00213,61.35,1225.24,45.9,0.00128,77.52,518551.66,69.44,0.54093,77.3,430550.26,72.78,0.44913,79.76,299314.4,76.42,0.31223,80.2,7697624.39,90.76,8.02978,80.2,5987224.8,90.76,6.24557,80.2,3218479.38,82.77,3.35736,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,71.37,6479577.78,52.22,6.75917,57.31,307350.77,38.9,0.32061,0.01,0,0.01,0,67.39,2346677.54,44.22,2.44794,53.74,72.23,58.56,11.09,57.16,7.4,49.19,13.3,50.7,12213.49,58.96,1403.82,49.54,70.41,73.91,1012.53,20.76,99.44,31.21,97.33,0.01,100,15.15,99.9,51.86,75.7,58.17,949.72,24.31,5.4,26.31,141,54.7,58.97,54.7,192.08,60.3,55.84,47.2,8.78,0.72731,60.03,329384,37.36,0.32,37.66,8000,19.64,0.01,40.55,1000,0.01,0,14.41,4.48,64.43,30307.07,48.14,8639.99,54.7,1101.21,31.77,10594.4,15.46,0.01,58.07,460.8,48.6,0.00047,59.22,-0.67021,55.91,-0.42354,69.54,-1.06642,54.22,-0.42085,57.16,74.6,56.16,192.6,59.75,129.23,52.33,32.41,46.02,33.14,53.27,21.2,53.51,13.96,56.16,49.59,47.44,98.66,51.92,1.5,47.2,2.47,48.6,38.9,56.9,458.53,60.3,2612.49,52.8,1468.6,29.41,94,25.56,95,22.3,94,55.42,1725.23,61.07,5.7
"El Salvador","SLV",14.37,7.3,28.27,39.2,12.3,46.85,56.9,13.25,58.23,38.59,54.66,0.68,56.61,48.38,64.48,54.67,29.18,56.42,39.39,1.56,23.42,0.17,3.25,24.57,45.51,59.55,56.53,68.42,35.49,0.53,36.92,44.39,67.07,48.6,60.57,21.12,45.11,60.32,45.62,0.01,56.53,56.7,47.91,49.38,47.87,55.92,74.34,46.82,63.84,49.39,55241.83,100,0.82016,49.03,15731.44,57.2,0.23356,44.21,947,52.7,0.01406,37.12,232.18,36.86,0.00345,40.55,111.26,39,0.00165,42.18,50.79,40.95,0.00075,19.84,6.23,18.71,9e-05,20.15,6.23,19.41,9e-05,0.01,0,0.01,0,23.55,18340.25,22.54,0.27229,24.55,16327.34,22.54,0.24241,24.55,13076.84,22.88,0.19415,49.47,40338.46,50.82,0.59889,0.01,0,0.01,0,0.01,0,0.01,0,40.75,518632.37,100,7.7,46.11,119072.21,62.93,1.76783,0.01,0,0.01,0,25.77,16888.59,23.43,0.25074,50.46,73.65,41.04,14.56,59.62,6.9,59.49,11.7,56.16,8045.79,56.9,1563.57,52.1,104.18,89.84,1983.56,27.14,97.95,46.41,82.45,0.01,100,27.79,89.1,51.16,76.67,26.65,1469.22,34.37,8.5,57.32,118,52.56,57.72,85.59,586.71,51.63,41.06,55.18,13.36,0.66698,24.68,2190,18.07,0.03,42.29,16214,48.11,0.25,55.53,114000,65.52,1.76,57.92,330.54,61.7,27807.39,56.65,17143.22,44.09,677.82,45.34,109463.4,45.9,1.7,0.01,0,0.01,0,56.65,-0.55256,56.41,-0.46544,52.1,-0.12745,61.7,-0.76246,40.51,287,56.65,183.4,62.28,115.26,39.15,627.11,49.54,48.87,46.26,13.7,39.97,275.04,64.76,36.79,67.55,79.36,100,0.01,77.11,0.18,53.27,29.37,54.22,221.56,39.7,862.37,47.67,841.41,60.93,72,68.69,64,62.18,56,57.66,1476.95,14.77,0.2
"Equatorial Guinea","GNQ",3.36,0.86,13.13,10.19,3.67,60.47,56.17,59.22,48.53,0.01,67.97,0.01,74.23,66.5,60.88,59.72,60.83,1.79,0.12,0.01,24.72,0.01,47.8,13.29,77.29,67.95,42.98,44.09,56.93,46.33,76.56,60.92,68.75,60.03,27.7,0.01,0.01,0.01,0.01,0.01,85.97,64.09,67.24,60.31,72.52,66.24,55.95,55.09,64.73,22.08,718.33,32.18,0.05592,19.65,88.73,23.63,0.00691,0.01,0,0.01,0,16.52,0.07,16.39,1e-05,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,17.57,6985,31.01,0.54381,18.31,6438.59,32.61,0.50127,19.4,5591.71,36.15,0.43534,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,25.12,90475.47,57.08,7.04384,34.01,30490.31,67.06,2.37378,47.07,4091.7,77.46,0.31855,12.9,28.76,13.7,0.00224,79.55,59.23,75.09,9.44,63.18,5.9,73.08,9.7,48.6,13345.45,38.01,7060.76,52.8,108.22,36.82,-70.57,60.76,64.23,53.35,65.01,43.01,66.59,49.9,23.9,74.49,1.24,78.68,451.67,52.95,17.36,70.09,104.8,67.55,62.91,69.97,303.71,61.7,60.45,15.96,3.91,0.63907,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,79.55,5027.23,61.13,27561.14,71.8,41445.59,61.13,1507.58,0.01,0,0.01,0,0.01,0,0.01,0,100,-1.72289,73.91,-1.34201,53.27,-0.19093,77.11,-1.42232,63.8,31.07,70.86,60.3,56.16,166.89,64.76,1.13,66.11,270.37,79.55,85.3,63.18,1.13,63.18,38.37,72.82,72.8,45.74,3.17,52.21,1.64,73.35,8.22,58.43,591.65,47.9,1352.67,59.75,3356.75,74.3,53,74.3,55,49.12,75,65.09,968.97,56.85,4.8
"Eritrea","ERI",7.7,2.3,25.77,19.06,14.94,60.1,67.31,67.95,58.57,0.15,62.53,0.7,75.53,63.09,69.62,45.62,68.36,32.38,0.03,1.97,26.32,0.01,37.32,17.84,62.97,86.31,73.45,51.41,73.56,53,83.65,65.36,49.37,64.43,63.18,35.67,0.01,0.01,0.84,0.59,80.51,70.85,61.62,59.87,68.07,74.74,64.85,71.21,29.22,30.57,5195.51,41.63,0.12399,27.3,858.49,29.55,0.02049,30.67,56.32,36.61,0.00134,15.42,0.03,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.75,119.76,27.87,0.00286,26.77,111,29.41,0.00265,0.01,0,0.01,0,22.19,16136.23,26.84,0.3851,24.22,15919.47,28.13,0.37992,24.88,15466.6,32.93,0.36911,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,34.63,280155.49,51.18,6.68599,25.92,10517.09,36.98,0.25099,38.76,180.95,41.04,0.00432,17.84,2757.14,17.84,0.0658,64.11,66.85,61.85,10.71,74.49,3.9,100,5,77.11,1712.08,69.97,488.21,61.7,197.94,42.84,-4.67,69.65,58.35,77.7,16.25,48.78,50.39,57.59,9.3,69.97,2.31,100,145.92,58.89,24.4,72.55,100.46,47.32,55.43,51.51,174.88,64.43,64.79,39.43,6.32,0.66984,25.67,2977,49.57,0.94,0.01,0,0.01,0,0.01,0,0.01,0,58.69,373.26,60.03,27203.04,60.03,22828.59,72.3,2049.2,0.01,0,70.11,11.102,35.13,5,0.01,0,75.73,-1.39477,85.59,-1.75737,63.8,-0.71955,78.68,-1.5955,64.11,29.49,59.22,144,62.58,114.09,57.28,6.04,75.09,494.52,61.7,41.9,58.43,2.86,79.55,26.98,89.84,57.72,62.2,0.54,54.46,1.18,80.51,5.79,76.4,4495.03,67.55,3582.93,69.97,8368.78,26.06,95,25.56,95,37.44,85,81.55,250.57,57.31,4.9
"Estonia","EST",1.82,0.43,7.69,6.78,2.14,31.29,32.71,1.41,44.49,0.18,38.79,0.01,31.12,31.4,37.53,29.18,27.97,0.01,0.01,1.56,27.28,0.01,2.25,30.7,36.27,21.98,32.13,44.69,20.7,0.01,29.1,0.65,32.26,55.91,48.84,58.18,0.01,0.01,0.01,0.01,28.77,33.66,35.85,31.34,27.55,33.66,41.84,23.5,36.24,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,19.47,6.14,22.36,0.00044,17.94,0.63,18.31,5e-05,0.01,0,0.01,0,22.88,16707.91,45.48,1.20671,22.19,13423.68,43.63,0.96951,16.43,3084.83,24.88,0.2228,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,26.54,105474.58,79.26,7.61776,20,1620.5,31.15,0.11704,0.01,0,0.01,0,25.11,16483.17,37.54,1.19048,36.04,78.93,36.51,15.35,14.41,13.1,33.54,16,33.89,37940.99,30.46,11278.12,32.07,0,62.28,374.49,18.74,99.59,22.87,99.14,0.01,100,0.01,100,32.45,325.01,26.09,1470.39,0.01,2.5,42.41,129,32.07,47.93,32.45,108.56,37.86,26.13,76.4,32.27,0.65681,44.94,73497,75.33,5.52,0.01,0,0.01,0,0.01,0,0.01,0,54.7,244.81,38.01,18158.66,32.82,521.84,33.19,454.33,0.01,0,0.01,0,0.01,0,0.01,0,27.18,1.54233,30.46,1.17475,38.87,0.63889,29.14,1.28126,34.91,356.7,36.82,663.2,33.19,457,29.59,2854.46,37.12,10.34,20.45,2.6,33.54,853.62,33.89,95.89,33.54,105.86,64.68,0.43,36.2,8.24,31.28,74.23,32.82,8.52,22.89,259.5,17.28,72.95,37.44,91,35.84,91,35.46,87,28.68,11635.84,27.27,0.6
"Eswatini","SWZ",1.82,0.14,23.59,17.11,13.54,56.63,59.78,51.12,51.74,0.14,66.25,0.77,57.75,55.78,55.9,56.89,57.11,0.14,0.01,0.01,20.43,0.14,2.64,0.01,69.63,56.53,56.91,57.03,55.07,38.55,62.16,51.77,82.79,64.11,26.09,28.27,0.01,0.01,58.57,0.01,58.48,57.03,54.73,51.04,62.13,50.19,62.25,65.01,49.79,21.39,713.39,33.85,0.06498,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,16.05,3183.15,23.21,0.28993,16.43,3162.29,24.55,0.28803,16.81,3111.9,28.78,0.28344,27.7,37.38,33,0.0034,0.01,0,0.01,0,0.01,0,0.01,0,24.75,84164.37,84.57,7.66591,28.34,12765.12,57.31,1.16268,0.01,0,0.01,0,0.01,0,0.01,0,77.11,60.8,62.88,10.58,56.9,7.52,56.16,12.52,55.42,8382.32,58.43,1458.04,56.9,147.51,57.16,196.78,56.48,70.75,53.7,64.29,37.61,77.17,39.52,54.7,63.8,7.65,60.57,897.88,41.54,11.6,64.52,112,84.04,70.47,81.55,499,63.49,63.96,41.57,6.85,0.63118,24.34,2049,32.83,0.18,0.01,0,0.01,0,0.01,0,0.01,0,100,18697.64,59.22,26821.15,58.96,19659.44,55.18,1107.77,47.21,144800,72.67,12.876,0.01,0,0.01,0,55.42,-0.48767,61.7,-0.67832,57.41,-0.3786,56.65,-0.50188,65.42,23.26,45.78,414.2,50.93,209.03,51.16,43.1,61.99,173.56,62.28,43.96,48.84,34.41,57.16,45.85,45.3,99.55,64.68,0.43,56.41,1,66.11,11.24,70.41,2840.46,60.57,2671.11,64.43,5894.16,48.41,83,48.24,82,52.84,70,59.22,1210.62,55.08,3.9
"Ethiopia","ETH",4.8,0.36,63.88,64.57,58.43,69.1,63.92,67.01,59.9,63.51,68.86,46.13,59.89,72.22,70.53,66.74,70.1,39.85,0.01,0.01,29.62,0.01,63.66,0.01,60.04,80.13,69.45,49.95,86.91,56.28,71.75,57.44,49.37,67.55,64.43,57.02,62.45,71.93,42.81,49.7,56.8,63.15,74.43,72.67,69.64,69.61,71.46,70.64,63.06,59.06,111094.26,39.59,0.107,50.07,18178.33,28.85,0.01751,38.46,303.58,30.82,0.00029,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,45.85,225720.13,17.94,0.21741,46.24,196425.86,18.67,0.18919,48.2,149727.76,19.75,0.14421,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,73.01,7139926.77,54.63,6.87703,76.25,967237.38,52.27,0.93162,74.22,110047.5,56.4,0.106,0.01,0,0.01,0,63.64,67.09,56.65,11.49,84.04,2.9,76.4,8.8,71.8,2409.84,67.18,714.34,54.22,116.11,46.02,10.93,75.54,49.62,100,8.91,50.75,48.27,62.41,6.6,66.11,3.75,77.87,464.73,50.18,16.2,65.76,111,47.32,55.43,51.51,174.88,67.55,70.59,38.87,6.25,0.67097,69.85,803511,46.55,0.7,68.8,664000,56.69,0.58,81.39,1692000,63.57,1.47,64.76,735.7,71.8,34767.84,73.91,44094.14,65.42,1798.1,52.13,384591,35.15,0.346,51.7,284,47.77,0.000248,53.51,-0.40647,60.3,-0.63458,71.32,-1.2796,55.91,-0.47348,81.55,7.7,67.93,71.4,85.59,45.47,61.7,2.72,71.8,407.24,67.55,55.2,59.49,1.9,80.51,23.86,70.41,75.43,72.33,0.14,75.09,0.21,67.18,10.43,72.82,3304.76,66.46,3538.53,72.82,9116.8,63.08,71,57.18,74,69.52,46,67.55,745.11,72.74,20.4
"Federated States of Micronesia","FSM",4.36,1.12,16.97,9.5,12.24,42,60.77,50.51,39.44,0.01,63.85,0.74,48.35,51.25,38.4,52.73,36.59,0.12,53.69,0.01,0.01,50.03,1.72,39.97,75.86,52.35,59.91,57.33,43.68,44.81,70.25,47.34,56.74,50.7,21.32,0.01,0.01,0.01,55.35,0.01,50.54,46.25,56.92,41.92,56.41,43.19,34.15,54.09,51.41,12.16,7.75,23.33,0.01002,0.01,0,0.01,0,0.01,0,0.01,0,39.12,290.12,80.82,0.37487,39.56,102.75,88.95,0.13277,35.33,12.46,60.92,0.0161,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.74,1047.03,63.91,1.35285,37.88,126.68,53.13,0.16368,60.04,0.32,63.94,0.00041,9.04,2529.71,19.23,3.26862,21.06,2529.71,70.98,3.26862,0.01,0,0.01,0,24.77,16082.81,64.51,20.78043,61.7,68.06,93.27,8.52,48.37,9.49,56.65,12.38,64.76,4100.63,55.42,1710.51,79.55,819.36,41.31,-21.36,46.27,88.31,41.24,88.31,37.15,82.12,54.06,12.5,57.66,24.76,85.59,308.19,36.44,8.81,61.51,114.55,53.39,58.38,60.3,234.34,57.16,48.42,41.31,6.82,0.47675,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,66.81,879.94,79.55,39741.6,54.22,15277.04,57.66,1294.54,37.17,22000,82.41,19.904,0.01,0,0.01,0,48.6,-0.15587,52.56,-0.1858,46.02,0.26304,46.49,0.02412,59.22,58.13,54.7,215.3,43.1,304.66,40.78,446.22,55.18,76.87,57.66,30.07,39.15,291.59,43.59,75.62,47.2,98.75,36.08,9.13,19.49,41.8,56.65,22.03,54.94,277.18,58.43,2445.03,49.3,1044.57,48.41,83,48.24,82,58.2,62,57.16,1501.16,23.42,0.5
"Fiji","FJI",6.54,2.79,15.33,17.05,11.74,18.01,56.03,14.06,54.07,0.59,57.39,0.81,40.35,49.57,43.76,2.67,50.03,53.37,54.71,30.79,0.01,2.66,0.01,54.42,67.39,41.28,51.38,68.93,28.88,0.64,56.04,37.71,48.6,46.49,69.97,0.34,59.98,0.01,65.92,0.01,40.7,40,51.15,46.8,50.89,46.5,41.18,54.78,0.13,31.52,7197.1,81.28,0.79766,37.36,4309.06,70.9,0.47757,46.82,1195.43,72.75,0.13249,48.73,938.4,66.17,0.104,45.97,266.81,62.39,0.02957,48.56,144.91,59.71,0.01606,25.28,80.52,33.64,0.00892,25.28,60.75,34.53,0.00673,28.49,46.98,40.27,0.00521,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,41.53,6694.48,58.02,0.74195,36.11,64.42,40.39,0.00714,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,44.62,203865.81,66.38,22.59448,62.14,67.63,73.08,9.86,39.43,10.9,43.22,14.4,52.8,10908.36,50,2548.28,69.54,360.89,68.32,808.71,37.41,94.3,22.3,99.16,0.01,100,41.31,49.6,59.75,14.75,52.56,1045.35,25.31,5.6,56.19,119,47.67,55.49,49.54,166.46,54.22,44.52,47.9,8.93,0.67965,11.42,19,0.01,0,47.94,36035,75.05,4.02,0.01,0,0.01,0,38.58,51.81,78.68,39554.49,58.17,18889.43,61.42,1510.99,47.98,187530.6,90.57,21.312,0.01,0,0.01,0,38.01,0.55856,43.59,0.2041,33.89,0.87231,47.2,-0.02576,55.42,83.85,47.2,396,48.6,237.35,45.06,232.55,46.73,36.15,55.42,25.6,37.72,335.98,55.91,49.6,47.67,98.55,52.77,1.4,30.88,12.38,42.84,53.49,55.91,373.38,53.74,1994.36,54.7,1794.8,0.01,99,0.01,99,22.3,94,54.22,1840.15,46.17,2.6
"Finland","FIN",1.3,0.49,3.45,4.53,0.58,15.63,25.18,0.55,37.94,0.16,22.78,0.01,2.56,7.75,28.02,5.74,23.74,0.01,0.01,2.53,34.98,0.01,2.09,38.59,25.38,16.51,26.88,35.68,0.42,0.01,34.91,0.63,25.8,59.49,35.57,42.55,0.01,0.01,0.01,0.01,11.29,0.58,39.31,29.61,0.4,25.3,31.03,1.01,32.57,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,44.03,6322.67,50.34,0.11258,32.91,431.17,36.19,0.00768,0.01,0,0.01,0,31.65,68742.43,46.62,1.22401,31.01,48446.75,40.82,0.86263,28.13,23448.71,34.86,0.41752,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,37.17,349885.7,44.21,6.22997,21.41,2997.41,23.5,0.05337,0.01,0,0.01,0,37.89,86890.44,39.31,1.54715,27.7,82.16,23.25,16.78,21.73,12.8,12.55,19.4,26.09,51647.87,27.7,12306.38,32.07,0,39.7,-30.9,0.01,100,17.88,99.45,0.01,100,0.01,100,32.07,325.45,38.01,1294.91,0.01,2.5,39.2,132,26.09,44.6,25.51,89.45,37.12,25.76,93.27,36.63,0.64577,40.6,33172,44.59,0.6,0.01,0,0.01,0,0.01,0,0.01,0,31.68,24.61,20.45,11115.91,21.32,132.01,19.49,265.21,0.01,0,0.01,0,0.01,0,0.01,0,10.16,2.15308,12.55,1.92931,33.19,0.90908,0.01,2.02215,25.51,464,60.57,130.6,38.3,361,22.89,5302.43,15.96,3.48,0.01,1.7,26.09,1760.18,43.1,75.96,14.41,122.08,54.84,1.16,26.65,17.14,20.45,92.96,0.01,2.28,10.16,111.34,10.16,50.89,37.44,91,35.84,91,25.75,93,26.65,12290.79,21.14,0.4
